State,Female,Male,Total
Alabama,52,72,124
Alaska,53,112,165
Arizona,133,226,359
Arkansas,92,152,244
California,68,146,214
Colorado,79,131,210
Connecticut,78,152,230
Delaware,44,64,108
Florida,220,337,557
Georgia,117,159,276
Hawaii,93,156,249
Idaho,60,106,166
Illinois,40,68,108
Indiana,123,216,339
Iowa,104,167,271
Kansas,125,206,331
Kentucky,66,92,158
Louisiana,82,97,179
Maine,139,286,425
Maryland,175,321,496
Massachusetts,91,156,247
Michigan,128,173,301
Minnesota,110,286,396
Mississippi,56,77,133
Missouri,84,159,243
Montana,79,160,239
Nebraska,122,222,344
Nevada,35,76,111
New Hampshire,92,156,248
New Jersey,60,102,162
New Mexico,69,119,188
New York,156,260,416
North Carolina,55,72,127
North Dakota,52,86,138
Ohio,226,363,589
Oklahoma,77,111,188
Oregon,53,90,143
Pennsylvania,47,90,137
Rhode Island,51,115,166
South Carolina,102,196,298
South Dakota,106,188,294
Tennessee,65,112,177
Texas,162,264,426
Utah,59,168,227
Vermont,68,183,251
Virginia,130,179,309
Washington,239,462,701
West Virginia,109,137,246
Wisconsin,105,222,327
Wyoming,53,68,121
